                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8346,                 4.4227,                  2.619,                 0.3664,                0.33973,                0.32325,                0.18079,                 3.0044,                 4.0829,                 2.9328,             0.00025567,             0.00025567,             0.00025567
                      2,                 3.1385,                 3.7579,                 2.8452,                0.38413,                0.29222,                0.26806,                0.14844,                 3.2556,                 4.2124,                 3.1024,             0.00050778,             0.00050778,             0.00050778
                      3,                 3.1681,                  3.708,                 2.8762,                0.42013,                 0.3641,                0.34599,                0.19098,                  3.056,                 3.7943,                 2.8916,             0.00075566,             0.00075566,             0.00075566
                      4,                 3.0935,                 3.5211,                 2.8256,                0.47594,                0.39182,                0.38869,                0.21633,                 3.0041,                 3.3283,                  2.846,             0.00074997,             0.00074997,             0.00074997
                      5,                 3.0011,                 3.3818,                 2.7999,                0.57412,                0.37651,                0.39241,                0.22262,                 2.9352,                 3.2259,                 2.8214,             0.00074362,             0.00074362,             0.00074362
                      6,                 2.9693,                 3.2334,                 2.7541,                0.61416,                0.41901,                0.46394,                0.26475,                 2.8708,                 2.9223,                 2.7626,             0.00073728,             0.00073728,             0.00073728
                      7,                 2.9106,                 3.1094,                 2.7273,                 0.5055,                0.45085,                0.46418,                 0.2737,                 2.7964,                 2.7865,                 2.7118,             0.00073093,             0.00073093,             0.00073093
                      8,                 2.8989,                 2.9987,                 2.6747,                0.57538,                0.44042,                 0.4922,                0.28492,                  2.795,                 2.7793,                 2.7038,             0.00072459,             0.00072459,             0.00072459
                      9,                 2.8136,                 2.8798,                 2.6525,                0.59095,                0.47536,                0.51007,                0.30276,                 2.7337,                 2.6345,                 2.6924,             0.00071825,             0.00071825,             0.00071825
                     10,                  2.782,                 2.7835,                 2.6389,                0.64504,                0.45708,                0.50183,                0.29713,                 2.7517,                 2.7126,                 2.6546,              0.0007119,              0.0007119,              0.0007119
                     11,                  2.764,                 2.7103,                 2.6272,                 0.6407,                0.46032,                0.50225,                0.30645,                 2.6682,                 2.6485,                 2.6333,             0.00070556,             0.00070556,             0.00070556
                     12,                 2.7566,                 2.6744,                 2.6068,                0.63596,                 0.4997,                0.53594,                0.32073,                 2.7001,                 2.5477,                 2.6487,             0.00069921,             0.00069921,             0.00069921
                     13,                 2.7053,                 2.6101,                 2.5868,                0.59649,                 0.5327,                0.54921,                0.33101,                 2.6491,                 2.4748,                 2.5957,             0.00069287,             0.00069287,             0.00069287
                     14,                 2.6417,                 2.5092,                 2.5406,                0.58765,                 0.5267,                0.54855,                 0.3381,                 2.5905,                 2.4574,                 2.5615,             0.00068652,             0.00068652,             0.00068652
                     15,                 2.6405,                 2.5275,                 2.5599,                0.66306,                0.50186,                0.56534,                0.35023,                 2.5955,                 2.3437,                 2.5572,             0.00068018,             0.00068018,             0.00068018
                     16,                 2.6356,                 2.3945,                 2.5303,                0.66534,                 0.5116,                0.56765,                0.34999,                 2.5841,                 2.3554,                 2.5547,             0.00067384,             0.00067384,             0.00067384
                     17,                 2.6256,                 2.3925,                 2.5271,                0.65956,                0.53071,                0.58837,                0.35908,                 2.6294,                 2.2351,                 2.5895,             0.00066749,             0.00066749,             0.00066749
                     18,                 2.5718,                 2.3696,                 2.5185,                0.69011,                0.55401,                 0.6184,                0.38377,                 2.5627,                 2.1548,                 2.5488,             0.00066115,             0.00066115,             0.00066115
                     19,                 2.5473,                 2.3094,                 2.5071,                0.63997,                0.57062,                0.61173,                0.38674,                 2.5446,                 2.1649,                 2.5495,              0.0006548,              0.0006548,              0.0006548
                     20,                  2.539,                 2.2883,                  2.491,                0.65824,                0.55052,                0.59551,                0.37914,                 2.5219,                 2.1674,                 2.5278,             0.00064846,             0.00064846,             0.00064846
                     21,                 2.5436,                  2.257,                 2.4977,                 0.6745,                0.55971,                0.61574,                0.38852,                 2.5147,                 2.1481,                 2.5254,             0.00064212,             0.00064212,             0.00064212
                     22,                 2.4812,                 2.1745,                 2.4559,                  0.709,                 0.5453,                0.61834,                0.39369,                 2.4979,                 2.0954,                 2.5028,             0.00063577,             0.00063577,             0.00063577
                     23,                 2.4689,                 2.1483,                 2.4359,                0.65799,                 0.5594,                0.60735,                0.38773,                 2.4888,                 2.1091,                 2.5024,             0.00062943,             0.00062943,             0.00062943
                     24,                 2.4612,                 2.1658,                 2.4445,                0.66809,                0.57142,                0.61985,                0.39735,                 2.5055,                 2.0775,                 2.5222,             0.00062308,             0.00062308,             0.00062308
