                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4377,                 1.0423,                 1.2019,                0.73254,                0.60269,                0.67224,                0.40442,                 1.3559,                0.77466,                 1.1462,              0.0033324,              0.0033324,              0.0033324
                      2,                 1.3402,                0.80488,                 1.1284,                0.62339,                0.65833,                0.69404,                 0.4337,                 1.2878,                0.75716,                 1.1346,              0.0065337,              0.0065337,              0.0065337
                      3,                 1.3466,                0.81218,                 1.1311,                0.63188,                0.63636,                0.69192,                0.43277,                 1.2791,                0.75526,                 1.1361,              0.0096031,              0.0096031,              0.0096031
                      4,                  1.338,                0.80875,                 1.1353,                0.65359,                 0.6595,                0.70715,                0.44549,                 1.2749,                0.73236,                 1.1405,               0.009406,               0.009406,               0.009406
                      5,                 1.2997,                0.77496,                 1.1169,                0.62129,                0.67602,                0.70719,                0.44943,                 1.2549,                0.71501,                 1.1339,               0.009208,               0.009208,               0.009208
                      6,                 1.2755,                0.75151,                 1.1068,                0.61484,                 0.6968,                0.71179,                0.45768,                  1.237,                 0.7055,                 1.1142,                0.00901,                0.00901,                0.00901
                      7,                  1.253,                0.73477,                 1.0931,                0.65314,                0.68991,                0.71995,                0.46607,                  1.231,                0.69082,                 1.1101,               0.008812,               0.008812,               0.008812
                      8,                 1.2339,                0.71677,                 1.0857,                0.76881,                 0.6547,                  0.723,                0.46898,                 1.2227,                0.68741,                  1.113,               0.008614,               0.008614,               0.008614
                      9,                  1.218,                0.70312,                 1.0847,                0.67375,                0.70841,                0.73826,                0.48209,                 1.2153,                 0.6766,                 1.1117,               0.008416,               0.008416,               0.008416
                     10,                 1.2035,                0.69149,                 1.0775,                0.72248,                0.67323,                0.74105,                0.48155,                 1.2085,                0.66913,                 1.1158,               0.008218,               0.008218,               0.008218
                     11,                  1.186,                 0.6763,                 1.0679,                 0.6895,                0.69879,                0.74258,                0.48455,                 1.2053,                0.65918,                  1.102,                0.00802,                0.00802,                0.00802
                     12,                 1.1738,                0.66587,                 1.0648,                0.66161,                0.71739,                0.74257,                0.48562,                 1.1999,                0.65385,                 1.1062,               0.007822,               0.007822,               0.007822
                     13,                   1.16,                0.65515,                 1.0598,                0.70446,                0.72428,                0.75036,                0.49088,                 1.1983,                0.64905,                 1.1055,               0.007624,               0.007624,               0.007624
                     14,                 1.1493,                0.64678,                 1.0516,                0.68422,                0.72987,                0.74571,                0.49138,                 1.1973,                0.64619,                 1.0987,               0.007426,               0.007426,               0.007426
